population	reference_population	common_variants	normalized_frobenius_distance	median_absolute_delta_r	p95_absolute_delta_r	max_absolute_delta_r	sign_discordance_informative_pairs	informative_pairs	rank	minimum_eigenvalue	maximum_eigenvalue	condition_number_positive_spectrum
EUR	EUR	100	0.0	0.0	0.0	0.0	0.0	4229	59	-3.4014750857954876e-15	39.49220682429	132136.00906587113
AFR	EUR	100	0.6375331342216504	0.2693381419340277	0.6374434225801116	0.9101269270388337	0.1213052731142114	4229	85	-3.8495880659756536e-15	20.777232167707176	21714.816163192034
EAS	EUR	100	0.3016952990428579	0.09859973450410099	0.3868168716049669	0.583314538421924	0.010371053238073288	4339	66	-9.586178366563806e-15	41.38134229114196	65102.58030024238
SAS	EUR	100	0.20266548974859994	0.07371547393458605	0.2146136988840454	0.5384283270094109	0.006686649757897164	4337	62	-7.61370976074115e-15	39.749274738422756	60068.07077142058
AMR	EUR	100	0.2647770867536	0.08018434188287862	0.34732465179880756	0.5192095345777288	0.007404083464213597	4457	65	-1.007676262928665e-14	38.87456791280661	246267.87805735247
