population	samples	requested_variants	retained_variants	rank	minimum_eigenvalue	maximum_eigenvalue	condition_number_positive_spectrum
EUR	503	234	188	104	-1.6528604205290267e-14	49.003811970012926	125344.83014514715
AFR	661	234	202	164	-1.0099545746778865e-14	34.19657006609245	353294.9230169561
EAS	504	234	122	76	-1.3329637804686106e-14	47.15463732902166	73149.92988300334
SAS	489	234	170	94	-2.1679182031386845e-14	46.813255062830066	59854.99888150559
AMR	347	234	222	116	-3.823061198367031e-14	48.10604482505296	477423.03079573245
