training_seed	accuracy	macro_f1	macro_ovr_auc	log_loss	anomaly_auc	anomaly_brier	auc_valid	recall_valid	auc_order_mismatch	recall_order_mismatch	auc_sign_corruption	recall_sign_corruption	auc_ld_mismatch	recall_ld_mismatch	best_epoch	best_validation_auc
11	0.7715625	0.7437197170427828	0.9438852213541666	0.8568264245986938	0.8983192708333334	0.18027883768081665	0.89831953125	0.87	0.9998973958333333	1.0	0.9988359375	0.985	0.8784880208333333	0.23125	84	0.9995222479423869
29	0.75625	0.7276441955317642	0.9312727864583332	0.9900718927383423	0.8897578125000001	0.19149188697338104	0.8897578124999999	0.91	0.9996536458333333	0.98875	0.997121875	0.9175	0.8385578125	0.20875	99	0.9995441100823046
47	0.78	0.755793462468129	0.937259375	0.8005020022392273	0.8944328125000001	0.17050567269325256	0.8944328125000001	0.92875	0.999903125	1.0	0.9985869791666666	0.92625	0.8561145833333335	0.265	66	0.9993132716049382
