model	accuracy	macro_f1	macro_ovr_auc	log_loss	anomaly_auc	anomaly_brier	auc_valid	recall_valid	auc_order_mismatch	recall_order_mismatch	auc_sign_corruption	recall_sign_corruption	auc_ld_mismatch	recall_ld_mismatch
LD-GuardNet ensemble	0.7740625	0.7405079682134027	0.9432304687499999	0.6716120839118958	0.9021916666666666	0.1637181043624878	0.9021916666666666	0.935	0.9998880208333334	1.0	0.9990494791666666	0.96	0.8717927083333332	0.20125
Logistic baseline	0.625625	0.5718449638741279	0.8632892578125	1.3472295999526978	0.8113432291666667	0.16308286786079407	0.8113434895833332	0.575	0.9903661458333334	0.995	0.8946817708333334	0.81875	0.7567656249999999	0.11375
